thana,count
Parbatipur,1
Pashurampur,4
Patgram,3
Patharghata,2
Patiya,2
Patuakhali Sadar,4
Phulbari,1
Phulchhari,2
Phulpur,3
Phultala,1
Pirgachha,1
Pirganj,2
Pirojpur Sadar,3
Prasadpur,3
Purbadhola,3
Putia,1
Rafayetpur,4
Rajapur,1
Rajarhat,2
Rajbari Sadar,3
Rajibpur,1
Rajnagar,1
Rajoir,2
Rajshahi Sadar,8
Rajsthali,1
Ramganj,6
Ramghar Head Office,1
Ramna,1
Rampal,4
Ramu,1
Rangamati Sadar,1
Rangpur Sadar,6
Rangunia,2
Rani Sankail,2
Raninagar,2
Raozan,10
Rayenda,1
Raypur,8
Roanchhari,1
Rohanpur,2
Roumari,1
Ruma,1
Rupganj,5
Saadullapur,2
Sabujbag,1
Sachna,1
Sadarpur,3
Saidpur,2
Sajiara,4
Sakhipur,2
Sandwip,3
Sapahar,3
Sarail,3
Sariakandi,2
Sarsa,4
Sathia,1
Satkania,3
Satkhira Sadar,4
Saturia,2
Savar,10
Senbag,6
Setabganj,1
Shahjadpur,4
Shahrasti,5
Shailakupa,2
Shariatpur Sadar,3
Sharishabari,6
Sherpur,3
Sherpur Shadar,1
Shibganj,1
Shibganj U.P.O,3
Shibloya,4
Shibpur,1
Shribardi,1
Siddirganj,3
Singari,3
Singra,1
Sirajdikhan,5
Sirajganj Sadar,3
Sitakunda,8
Sonagazi,4
Sonatola,1
Sreenagar,9
Sreepur,11
Srimangal,5
Subidkhali,1
Sujanagar,2
Sunamganj Sadar,3
Sundarganj,2
Susung Durgapur,1
Sutrapur,3
Swarupkathi,4
Sylhet Sadar,14
Taala,2
Tahirpur,1
Tangail Sadar,5
Tangibari,8
Tanor,1
Taraganj,1
Tarail,1
Tarash,1
Tejgaon,1
Tejgaon Industrial Area,1
Teknaf,3
Terakhada,2
Tetulia,1
Thakurgaon Sadar,4
Thanchi,2
Trishal,4
Tungipara,2
Tushbhandar,1
Ukhia,1
Ulipur,2
Ullapara,4
Uttara,1
Uzirpur,5
kalai,1
kalaroa,6
kalkini,2
kaptai,4
kaukhali,4
panchbibi,1
