postcode,bn_division,bn_district,bn_thana,bn_suboffice,bn_postcode,en_division,en_district,en_thana,en_suboffice,en_postcode
2222,ময়মনসিংহ,ময়মনসিংহ,ত্রিশাল,রাম অমৃতগঞ্জ,২২২২,Mymensingh,Mymensingh,Trishal,Ram Amritaganj,2222
2223,ময়মনসিংহ,ময়মনসিংহ,ত্রিশাল,ধলা,২২২৩,Mymensingh,Mymensingh,Trishal,Dhala,2223
2230,ময়মনসিংহ,ময়মনসিংহ,গফরগাঁও,গফরগাঁও,২২৩০,Mymensingh,Mymensingh,Gaforgaon,Gaforgaon,2230
2231,ময়মনসিংহ,ময়মনসিংহ,গফরগাঁও,শিবগঞ্জ,২২৩১,Mymensingh,Mymensingh,Gaforgaon,Shibganj,2231
2232,ময়মনসিংহ,ময়মনসিংহ,গফরগাঁও,উস্তি,২২৩২,Mymensingh,Mymensingh,Gaforgaon,Usti,2232
2233,ময়মনসিংহ,ময়মনসিংহ,গফরগাঁও,কান্দিপাড়া,২২৩৩,Mymensingh,Mymensingh,Gaforgaon,Kandipara,2233
2234,ময়মনসিংহ,ময়মনসিংহ,গফরগাঁও,দুট্টারবাজার,২২৩৪,Mymensingh,Mymensingh,Gaforgaon,Dobasia,2234
2240,ময়মনসিংহ,ময়মনসিংহ,ভালুকা,ভালুকা,২২৪০,Mymensingh,Mymensingh,Bhaluka,Bhaluka,2240
2250,ময়মনসিংহ,ময়মনসিংহ,ফুলপুর,ফুলপুর,২২৫০,Mymensingh,Mymensingh,Phulpur,Phulpur,2250
2251,ময়মনসিংহ,ময়মনসিংহ,ফুলপুর,বেলতিয়া,২২৫১,Mymensingh,Mymensingh,Phulpur,Beltia,2251
2252,ময়মনসিংহ,ময়মনসিংহ,ফুলপুর,তারাকান্দা,২২৫২,Mymensingh,Mymensingh,Phulpur,Tarakanda,2252
2260,ময়মনসিংহ,ময়মনসিংহ,হালুয়াঘাট,হালুয়াঘাট,২২৬০,Mymensingh,Mymensingh,Haluaghat,Haluaghat,2260
2261,ময়মনসিংহ,ময়মনসিংহ,হালুয়াঘাট,ধারা,২২৬১,Mymensingh,Mymensingh,Haluaghat,Dhara,2261
2262,ময়মনসিংহ,ময়মনসিংহ,হালুয়াঘাট,মুনশিরহাট,২২৬২,Mymensingh,Mymensingh,Haluaghat,Munshirhat,2262
2270,ময়মনসিংহ,ময়মনসিংহ,গৌরীপুর,গৌরীপুর,২২৭০,Mymensingh,Mymensingh,Gouripur,Gouripur,2270
2271,ময়মনসিংহ,ময়মনসিংহ,গৌরীপুর,রামগোপালপুর,২২৭১,Mymensingh,Mymensingh,Gouripur,Ramgopalpur,2271
2280,ময়মনসিংহ,ময়মনসিংহ,ঈশ্বরগঞ্জ,ঈশ্বরগঞ্জ,২২৮০,Mymensingh,Mymensingh,Isshwargonj,Isshwargonj,2280
2281,ময়মনসিংহ,ময়মনসিংহ,ঈশ্বরগঞ্জ,সোহাগি,২২৮১,Mymensingh,Mymensingh,Isshwargonj,Sohagi,2281
