postcode,division,district,thana,suboffice,postcode_bn
1751,ঢাকা,গাজীপুর,কালিয়াকৈর,সফিপুর,১৭৫১
1720,ঢাকা,গাজীপুর,কালীগঞ্জ,কালীগঞ্জ,১৭২০
1721,ঢাকা,গাজীপুর,কালীগঞ্জ,পুবাইল,১৭২১
1722,ঢাকা,গাজীপুর,কালীগঞ্জ,সান্তানপাড়া,১৭২২
1723,ঢাকা,গাজীপুর,কালীগঞ্জ,ভাওয়াল জামালপুর,১৭২৩
1730,ঢাকা,গাজীপুর,কাপাসিয়া,কাপাসিয়া,১৭৩০
1712,ঢাকা,গাজীপুর,মন্নুনগর,এরশাদ নগর,১৭১২
1710,ঢাকা,গাজীপুর,মন্নুনগর,মন্নুনগর,১৭১০
1711,ঢাকা,গাজীপুর,মন্নুনগর,নিশাত নগর,১৭১১
1743,ঢাকা,গাজীপুর,শ্রীপুর,বারমি,১৭৪৩
1747,ঢাকা,গাজীপুর,শ্রীপুর,বাশামুর,১৭৪৭
1748,ঢাকা,গাজীপুর,শ্রীপুর,বউবি,১৭৪৮
1745,ঢাকা,গাজীপুর,শ্রীপুর,কাওরাইদ,১৭৪৫
1744,ঢাকা,গাজীপুর,শ্রীপুর,সাতখামার,১৭৪৪
1740,ঢাকা,গাজীপুর,শ্রীপুর,শ্রীপুর,১৭৪০
1741,ঢাকা,গাজীপুর,শ্রীপুর,রাজেন্দ্রপুর,১৭৪১
1742,ঢাকা,গাজীপুর,শ্রীপুর,রাজেন্দ্রপুর সেনানিবাস,১৭৪২
8102,ঢাকা,গোপালগঞ্জ,গোপালগঞ্জ সদর,বারফা,৮১০২
8013,ঢাকা,গোপালগঞ্জ,গোপালগঞ্জ সদর,চন্দ্রাদিঘীনালা,৮০১৩
8100,ঢাকা,গোপালগঞ্জ,গোপালগঞ্জ সদর,বলাকইড়,৮১০০
8101,ঢাকা,গোপালগঞ্জ,গোপালগঞ্জ সদর,উলপুর,৮১০১
8133,ঢাকা,গোপালগঞ্জ,কাশিয়ানী,জনাপুর,৮১৩৩
8130,ঢাকা,গোপালগঞ্জ,কাশিয়ানী,কাশিয়ানী,৮১৩০
8131,ঢাকা,গোপালগঞ্জ,কাশিয়ানী,রামদিয়া কলেজ,৮১৩১
8132,ঢাকা,গোপালগঞ্জ,কাশিয়ানী,রাতইল,৮১৩২
8110,ঢাকা,গোপালগঞ্জ,কোটালীপাড়া,কোটালীপাড়া,৮১১০
8141,ঢাকা,গোপালগঞ্জ,মাকসুদপুর,বাটিকামারী,৮১৪১
8142,ঢাকা,গোপালগঞ্জ,মাকসুদপুর,খানদারপাড়া,৮১৪২
8140,ঢাকা,গোপালগঞ্জ,মাকসুদপুর,মাকসুদপুর,৮১৪০
8121,ঢাকা,গোপালগঞ্জ,টুঙ্গিপাড়া,পাটগাটি,৮১২১
8120,ঢাকা,গোপালগঞ্জ,টুঙ্গিপাড়া,টুঙ্গিপাড়া,৮১২০
2336,ঢাকা,কিশোরগঞ্জ,বাজিতপুর,বাজিতপুর,২৩৩৬
2338,ঢাকা,কিশোরগঞ্জ,বাজিতপুর,লক্ষ্মীপুর,২৩৩৮
2337,ঢাকা,কিশোরগঞ্জ,বাজিতপুর,সরারচর,২৩৩৭
2350,ঢাকা,কিশোরগঞ্জ,অষ্টগ্রাম,বাংগালপাড়া,২৩৫০
2320,ঢাকা,কিশোরগঞ্জ,হোসেনপুর,হোসেনপুর,২৩২০
2390,ঢাকা,কিশোরগঞ্জ,ইটনা,ইটনা,২৩৯০
2310,ঢাকা,কিশোরগঞ্জ,করিমগঞ্জ,করিমগঞ্জ,২৩১০
2331,ঢাকা,কিশোরগঞ্জ,কটিয়াদি,গচিহাটা,২৩৩১
2330,ঢাকা,কিশোরগঞ্জ,কটিয়াদি,কটিয়াদি,২৩৩০
2301,ঢাকা,কিশোরগঞ্জ,কিশোরগঞ্জ সদর,কিশোরগঞ্জ এস.মিলস,২৩০১
2300,ঢাকা,কিশোরগঞ্জ,কিশোরগঞ্জ সদর,কিশোরগঞ্জ সদর,২৩০০
2302,ঢাকা,কিশোরগঞ্জ,পাকুন্দিয়া,মাইজহাটি,২৩০২
2303,ঢাকা,কিশোরগঞ্জ,কিশোরগঞ্জ সদর,নীলগঞ্জ,২৩০৩
2341,ঢাকা,কিশোরগঞ্জ,কুলিয়ারচর,ছয়সূতি,২৩৪১
2340,ঢাকা,কিশোরগঞ্জ,কুলিয়ারচর,কুলিয়ারচর,২৩৪০
2371,ঢাকা,কিশোরগঞ্জ,মিঠামইন,আব্দুল্লাহপুর,২৩৭১
2370,ঢাকা,কিশোরগঞ্জ,মিঠামইন,মিঠামইন,২৩৭০
2360,ঢাকা,কিশোরগঞ্জ,নিকলী,নিকলী,২৩৬০
2380,ঢাকা,কিশোরগঞ্জ,অষ্টগ্রাম,অষ্টগ্রাম,২৩৮০
2326,ঢাকা,কিশোরগঞ্জ,পাকুন্দিয়া,পাকুন্দিয়া,২৩২৬
2316,ঢাকা,কিশোরগঞ্জ,তাড়াইল,তাড়াইল,২৩১৬
7932,ঢাকা,মাদারীপুর,বারহামগঞ্জ,বাহাদুরপুর,৭৯৩২
7930,ঢাকা,মাদারীপুর,বারহামগঞ্জ,বারহামগঞ্জ,৭৯৩০
7931,ঢাকা,মাদারীপুর,বারহামগঞ্জ,নিলাকসমিবান্দার,৭৯৩১
7933,ঢাকা,মাদারীপুর,বারহামগঞ্জ,উমেদপুর,৭৯৩৩
7920,ঢাকা,মাদারীপুর,কালকিনি,কালকিনি,৭৯২০
7921,ঢাকা,মাদারীপুর,কালকিনি,সাহাবরামপুর,৭৯২১
7901,ঢাকা,মাদারীপুর,মাদারীপুর সদর,চরমুগরিয়া,৭৯০১
7903,ঢাকা,মাদারীপুর,মাদারীপুর সদর,হবিগঞ্জ,৭৯০৩
7902,ঢাকা,মাদারীপুর,মাদারীপুর সদর,কুলপাদ্দি,৭৯০২
7900,ঢাকা,মাদারীপুর,মাদারীপুর সদর,মাদারীপুর সদর,৭৯০০
7904,ঢাকা,মাদারীপুর,মাদারীপুর সদর,মুস্তফাপুর,৭৯০৪
7911,ঢাকা,মাদারীপুর,রাজৈর,খালিয়া,৭৯১১
7910,ঢাকা,মাদারীপুর,রাজৈর,রাজৈর,৭৯১০
1860,ঢাকা,মানিকগঞ্জ,দৌলতপুর,দৌলতপুর,১৮৬০
1840,ঢাকা,মানিকগঞ্জ,ঘিওর,ঘিওর,১৮৪০
1831,ঢাকা,মানিকগঞ্জ,লেছড়াগঞ্জ,ঝিটকা,১৮৩১
1830,ঢাকা,মানিকগঞ্জ,বারহামগঞ্জ,বারহামগঞ্জ,১৮৩০
1804,ঢাকা,মানিকগঞ্জ,মানিকগঞ্জ সদর,বরংগাইল,১৮০৪
1802,ঢাকা,মানিকগঞ্জ,মানিকগঞ্জ সদর,গড়পাড়া,১৮০২
1803,ঢাকা,মানিকগঞ্জ,মানিকগঞ্জ সদর,মহাদেবপুর,১৮০৩
1801,ঢাকা,মানিকগঞ্জ,মানিকগঞ্জ সদর,মানিকগঞ্জ বাজার,১৮০১
1800,ঢাকা,মানিকগঞ্জ,মানিকগঞ্জ সদর,মানিকগঞ্জ সদর,১৮০০
1811,ঢাকা,মানিকগঞ্জ,সাটুরিয়া,বালিয়াটি,১৮১১
1810,ঢাকা,মানিকগঞ্জ,সাটুরিয়া,সাটুরিয়া,১৮১০
1851,ঢাকা,মানিকগঞ্জ,শিবালয়,আরিচা,১৮৫১
1850,ঢাকা,মানিকগঞ্জ,শিবালয়,শিবালয়,১৮৫০
1852,ঢাকা,মানিকগঞ্জ,শিবালয়,তেওতা,১৮৫২
1853,ঢাকা,মানিকগঞ্জ,শিবালয়,উঠলি,১৮৫৩
1821,ঢাকা,মানিকগঞ্জ,সিংগাইর,বায়রা,১৮২১
1822,ঢাকা,মানিকগঞ্জ,সিংগাইর,জয়মন্তব,১৮২২
1820,ঢাকা,মানিকগঞ্জ,সিংগাইর,সিংগাইর,১৮২০
1510,ঢাকা,মুন্সীগঞ্জ,গজারিয়া,গজারিয়া,১৫১০
1511,ঢাকা,মুন্সীগঞ্জ,গজারিয়া,হোসেন্দি,১৫১১
1512,ঢাকা,মুন্সীগঞ্জ,গজারিয়া,রসুলপুর,১৫১২
